factor,group,metric,reference,candidate,n_common_clusters,mean_diff,median_diff,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,n_clusters_improved,n_clusters_worsened,fraction_clusters_improved,weighted_mean_diff_by_n_samples,weighted_mean_diff_by_n_residues
charge_group,charged_to_neutral,shell_mae,shell_mean,base_v5,52,-0.1819880148407703,-0.20002432989521124,-0.22446639031616444,-0.1394859934026975,5.1533608841136404e-08,44,8,0.8461538461538461,-0.05874674332909905,-0.0730233357462075
charge_group,charged_to_neutral,mae_shell_0,shell_mean,base_v5,52,-0.30867534912813627,-0.4138651755672914,-0.3837823674181658,-0.229483193536373,1.5578803801879373e-07,42,10,0.8076923076923077,-0.13282936841118687,-0.15588402290099546
charge_group,charged_to_neutral,mae_shell_1,shell_mean,base_v5,52,-0.1667318475886724,-0.18975584062148723,-0.21475546924066705,-0.11747699844963447,7.264240982697428e-07,42,10,0.8076923076923077,-0.03289898447960655,-0.05449267585997767
charge_group,charged_to_neutral,mae_shell_2,shell_mean,base_v5,52,-0.13932247650094706,-0.15043715215400555,-0.18032844351360405,-0.09645998711699112,1.103621159771441e-06,42,10,0.8076923076923077,-0.04717400516366103,-0.0552985224878428
charge_group,charged_to_neutral,mae_shell_3,shell_mean,base_v5,52,-0.11855571776205806,-0.13300621360001116,-0.15392876786078377,-0.08257579367578326,7.612206687142094e-07,40,12,0.7692307692307693,-0.031086358287204113,-0.04055592683650415
charge_group,charged_to_neutral,mae_shell_4,shell_mean,base_v5,52,-0.17665468322403743,-0.1983593169874341,-0.2176196387332698,-0.1328259132253715,7.358594190278252e-08,45,7,0.8653846153846154,-0.049745000303836634,-0.05888553064571728
charge_group,charged_to_neutral,perturbed_auroc,shell_mean,base_v5,48,0.248951013252713,0.2670435636776154,0.21550659787681428,0.28172460881698425,1.4210854715202004e-14,47,1,0.9791666666666666,0.27223199472354354,0.2897313561353958
charge_group,charged_to_neutral,perturbed_auprc,shell_mean,base_v5,48,0.20182041324542155,0.19588999924118727,0.15024969776279007,0.2565496544041878,3.537081738613779e-11,46,2,0.9583333333333334,0.20137835684457642,0.22210477347843774
charge_group,charged_to_neutral,radius_mae,shell_mean,base_v5,52,-5.818323664586296,0.0,-11.308113503616553,-1.0511130887227151,0.00336456298828125,15,3,0.28846153846153844,-6.789480117157331,-5.683625073908845
charge_group,charged_to_neutral,class_correct,shell_mean,base_v5,52,0.06807361110638732,0.0,-0.04914400730772695,0.18645946355697604,0.2935105954425006,13,7,0.25,0.22692498758072532,0.17623707652483586
charge_group,charged_to_neutral,class_macro_f1,shell_mean,base_v5,52,0.02269120370212911,0.0,-0.016381335769242316,0.06215315451899201,0.2935105954425006,13,7,0.25,0.07564166252690842,0.058745692174945276
charge_group,charged_to_neutral,non_local_f1,shell_mean,base_v5,52,0.183658378580352,0.0,0.09596661474585616,0.28183969701540507,0.0006386112041971716,15,0,0.28846153846153844,0.2448087431693989,0.19247881844082695
charge_group,charged_to_neutral,non_local_recall,shell_mean,base_v5,48,0.2355033326369618,0.0,0.1247704619177027,0.35633291764948716,0.000477027570352631,15,0,0.3125,0.25765973021018507,0.20329934536705474
charge_group,positive_to_negative,global_mae,shell_mean,base_v5,2,-0.05301364574650155,-0.05301364574650155,,,,2,0,1.0,-0.017072124523326137,-0.017000929675446995
charge_group,positive_to_negative,shell_mae,shell_mean,base_v5,2,-0.037179013349036685,-0.037179013349036685,,,,1,1,0.5,0.03333278775560113,0.033472461224683246
charge_group,positive_to_negative,mae_shell_0,shell_mean,base_v5,2,0.01811743921851404,0.01811743921851404,,,,1,1,0.5,0.18394725525182767,0.18427573963770016
charge_group,positive_to_negative,mae_shell_1,shell_mean,base_v5,2,0.00024021537124224723,0.00024021537124224723,,,,1,1,0.5,0.12665909469555742,0.1269095118336262
charge_group,positive_to_negative,mae_shell_2,shell_mean,base_v5,2,-0.11084909492633019,-0.11084909492633019,,,,2,0,1.0,-0.09608116174957948,-0.09605190865398902
charge_group,positive_to_negative,mae_shell_3,shell_mean,base_v5,2,-0.026593051651892435,-0.026593051651892435,,,,2,0,1.0,-0.020517488528145437,-0.02050545373446797
charge_group,positive_to_negative,mae_shell_4,shell_mean,base_v5,2,-0.06681057475671706,-0.06681057475671706,,,,2,0,1.0,-0.02734376089165421,-0.027265582959452896
charge_group,positive_to_negative,perturbed_auroc,shell_mean,base_v5,2,0.39714217509584426,0.39714217509584426,,,,2,0,1.0,0.42086686955215724,0.42091386466965125
charge_group,positive_to_negative,perturbed_auprc,shell_mean,base_v5,2,0.28098082202849906,0.28098082202849906,,,,2,0,1.0,0.2707419894264604,0.27072170781052546
charge_group,positive_to_negative,radius_mae,shell_mean,base_v5,2,-1.905782617581119,-1.905782617581119,,,,1,0,0.5,-3.7922417105226325,-3.7959785075078867
charge_group,positive_to_negative,class_correct,shell_mean,base_v5,2,0.0,0.0,,,,0,0,0.0,0.0,0.0
charge_group,positive_to_negative,class_macro_f1,shell_mean,base_v5,2,0.0,0.0,,,,0,0,0.0,0.0,0.0
charge_group,positive_to_negative,non_local_f1,shell_mean,base_v5,2,0.0,0.0,,,,0,0,0.0,0.0,0.0
charge_group,positive_to_negative,non_local_recall,shell_mean,base_v5,2,0.0,0.0,,,,0,0,0.0,0.0,0.0
charge_group,charged_to_charged_same_sign,global_mae,shell_mean,base_v5,7,-0.17906230981410332,-0.24099600403663854,-0.2742179962548042,-0.07538934311774066,0.046875,6,1,0.8571428571428571,-0.13708220609463767,-0.07777963989564413
charge_group,charged_to_charged_same_sign,shell_mae,shell_mean,base_v5,7,-0.1669691596736187,-0.15079006199546235,-0.27477899764752534,-0.04584543623016124,0.078125,6,1,0.8571428571428571,-0.09617671253680261,-0.064373881101669
charge_group,charged_to_charged_same_sign,mae_shell_0,shell_mean,base_v5,7,-0.1729596529323377,-0.2615271111329396,-0.38350881990101665,0.06139843602510595,0.296875,5,2,0.7142857142857143,-0.05978566267646397,-0.06001168057832951
